start_tr	end_tr	start_s	end_s	label_ternary
0	1	0.0	2.1	1
1	2	2.1	4.2	0
2	5	4.2	10.5	-1
5	6	10.5	12.600000000000001	1
6	7	12.600000000000001	14.700000000000001	0
7	9	14.700000000000001	18.900000000000002	1
9	10	18.900000000000002	21.0	0
10	11	21.0	23.1	-1
11	14	23.1	29.400000000000002	0
14	18	29.400000000000002	37.800000000000004	-1
18	20	37.800000000000004	42.0	0
20	39	42.0	81.9	-1
39	41	81.9	86.10000000000001	0
41	48	86.10000000000001	100.80000000000001	-1
48	49	100.80000000000001	102.9	0
49	50	102.9	105.0	1
50	51	105.0	107.10000000000001	0
51	59	107.10000000000001	123.9	1
59	61	123.9	128.1	0
61	62	128.1	130.20000000000002	1
62	64	130.20000000000002	134.4	0
64	65	134.4	136.5	1
65	71	136.5	149.1	0
71	74	149.1	155.4	-1
74	78	155.4	163.8	0
78	83	163.8	174.3	1
83	84	174.3	176.4	0
84	95	176.4	199.5	-1
95	98	199.5	205.8	0
98	103	205.8	216.3	1
103	104	216.3	218.4	-1
104	109	218.4	228.9	0
109	110	228.9	231.0	-1
110	111	231.0	233.10000000000002	0
111	112	233.10000000000002	235.20000000000002	-1
112	113	235.20000000000002	237.3	0
113	114	237.3	239.4	1
114	116	239.4	243.60000000000002	0
116	117	243.60000000000002	245.70000000000002	1
117	123	245.70000000000002	258.3	0
123	128	258.3	268.8	1
128	130	268.8	273.0	0
130	135	273.0	283.5	1
135	137	283.5	287.7	0
137	151	287.7	317.1	-1
151	154	317.1	323.40000000000003	0
154	155	323.40000000000003	325.5	1
155	157	325.5	329.7	0
157	161	329.7	338.1	-1
161	166	338.1	348.6	0
166	168	348.6	352.8	-1
168	173	352.8	363.3	0
173	175	363.3	367.5	-1
175	176	367.5	369.6	0
176	177	369.6	371.7	-1
177	178	371.7	373.8	0
178	187	373.8	392.7	-1
187	189	392.7	396.90000000000003	0
189	190	396.90000000000003	399.0	1
190	194	399.0	407.40000000000003	0
194	195	407.40000000000003	409.5	-1
195	196	409.5	411.6	0
196	198	411.6	415.8	-1
198	200	415.8	420.0	0
200	205	420.0	430.5	1
205	206	430.5	432.6	0
206	213	432.6	447.3	1
213	215	447.3	451.5	0
215	217	451.5	455.70000000000005	-1
217	231	455.70000000000005	485.1	1
231	232	485.1	487.20000000000005	0
232	240	487.20000000000005	504.0	1
240	244	504.0	512.4	0
244	248	512.4	520.8000000000001	1
248	251	520.8000000000001	527.1	0
251	253	527.1	531.3000000000001	-1
253	255	531.3000000000001	535.5	0
255	257	535.5	539.7	-1
257	258	539.7	541.8000000000001	0
258	259	541.8000000000001	543.9	-1
259	262	543.9	550.2	0
262	263	550.2	552.3000000000001	-1
263	268	552.3000000000001	562.8000000000001	1
268	272	562.8000000000001	571.2	0
272	284	571.2	596.4	1
