start_tr	end_tr	start_s	end_s	label_ternary
0	1	0.0	2.1	0
1	3	2.1	6.300000000000001	-1
3	4	6.300000000000001	8.4	0
4	9	8.4	18.900000000000002	1
9	14	18.900000000000002	29.400000000000002	0
14	17	29.400000000000002	35.7	-1
17	18	35.7	37.800000000000004	0
18	33	37.800000000000004	69.3	1
33	36	69.3	75.60000000000001	0
36	46	75.60000000000001	96.60000000000001	1
46	57	96.60000000000001	119.7	0
57	66	119.7	138.6	1
66	73	138.6	153.3	0
73	78	153.3	163.8	-1
78	79	163.8	165.9	0
79	92	165.9	193.20000000000002	1
92	93	193.20000000000002	195.3	0
93	98	195.3	205.8	1
98	109	205.8	228.9	0
109	121	228.9	254.10000000000002	-1
121	123	254.10000000000002	258.3	0
123	126	258.3	264.6	1
126	128	264.6	268.8	0
128	129	268.8	270.90000000000003	-1
129	130	270.90000000000003	273.0	0
130	139	273.0	291.90000000000003	-1
139	142	291.90000000000003	298.2	0
142	143	298.2	300.3	1
143	145	300.3	304.5	0
145	147	304.5	308.7	1
147	153	308.7	321.3	0
153	158	321.3	331.8	1
158	160	331.8	336.0	0
160	164	336.0	344.40000000000003	-1
164	165	344.40000000000003	346.5	0
165	172	346.5	361.2	1
172	179	361.2	375.90000000000003	0
179	187	375.90000000000003	392.7	-1
187	189	392.7	396.90000000000003	0
189	193	396.90000000000003	405.3	1
193	196	405.3	411.6	0
196	201	411.6	422.1	-1
201	206	422.1	432.6	0
206	223	432.6	468.3	-1
223	228	468.3	478.8	0
228	243	478.8	510.3	-1
243	248	510.3	520.8000000000001	1
248	250	520.8000000000001	525.0	0
250	253	525.0	531.3000000000001	-1
