start_tr	end_tr	start_s	end_s	label_ternary
0	3	0.0	6.300000000000001	1
3	4	6.300000000000001	8.4	0
4	7	8.4	14.700000000000001	1
7	9	14.700000000000001	18.900000000000002	-1
9	13	18.900000000000002	27.3	0
13	17	27.3	35.7	-1
17	19	35.7	39.9	0
19	21	39.9	44.1	-1
21	23	44.1	48.300000000000004	0
23	25	48.300000000000004	52.5	-1
25	26	52.5	54.6	0
26	28	54.6	58.800000000000004	-1
28	29	58.800000000000004	60.900000000000006	0
29	31	60.900000000000006	65.10000000000001	-1
31	33	65.10000000000001	69.3	0
33	35	69.3	73.5	-1
35	36	73.5	75.60000000000001	0
36	39	75.60000000000001	81.9	1
39	40	81.9	84.0	0
40	44	84.0	92.4	-1
44	48	92.4	100.80000000000001	0
48	49	100.80000000000001	102.9	-1
49	51	102.9	107.10000000000001	0
51	55	107.10000000000001	115.5	1
55	56	115.5	117.60000000000001	0
56	59	117.60000000000001	123.9	-1
59	63	123.9	132.3	0
63	66	132.3	138.6	-1
66	68	138.6	142.8	0
68	69	142.8	144.9	1
69	71	144.9	149.1	0
71	75	149.1	157.5	-1
75	77	157.5	161.70000000000002	0
77	80	161.70000000000002	168.0	-1
80	81	168.0	170.1	0
81	85	170.1	178.5	1
85	89	178.5	186.9	-1
89	90	186.9	189.0	0
90	95	189.0	199.5	-1
95	98	199.5	205.8	0
98	99	205.8	207.9	1
99	100	207.9	210.0	0
100	102	210.0	214.20000000000002	-1
102	103	214.20000000000002	216.3	0
103	104	216.3	218.4	-1
104	105	218.4	220.5	0
105	107	220.5	224.70000000000002	1
107	108	224.70000000000002	226.8	0
108	110	226.8	231.0	1
110	117	231.0	245.70000000000002	-1
117	118	245.70000000000002	247.8	0
118	121	247.8	254.10000000000002	-1
121	129	254.10000000000002	270.90000000000003	0
129	151	270.90000000000003	317.1	1
151	153	317.1	321.3	0
153	154	321.3	323.40000000000003	-1
154	156	323.40000000000003	327.6	0
156	164	327.6	344.40000000000003	1
164	165	344.40000000000003	346.5	0
165	167	346.5	350.7	-1
167	168	350.7	352.8	0
168	171	352.8	359.1	-1
171	175	359.1	367.5	0
175	176	367.5	369.6	1
176	181	369.6	380.1	-1
181	182	380.1	382.2	0
182	183	382.2	384.3	1
183	185	384.3	388.5	0
185	186	388.5	390.6	1
186	188	390.6	394.8	-1
188	190	394.8	399.0	0
190	191	399.0	401.1	-1
191	197	401.1	413.70000000000005	0
197	198	413.70000000000005	415.8	1
198	199	415.8	417.90000000000003	0
199	200	417.90000000000003	420.0	-1
200	202	420.0	424.20000000000005	1
202	203	424.20000000000005	426.3	0
203	208	426.3	436.8	1
208	210	436.8	441.0	0
210	212	441.0	445.20000000000005	-1
212	213	445.20000000000005	447.3	0
213	228	447.3	478.8	1
228	229	478.8	480.90000000000003	0
229	232	480.90000000000003	487.20000000000005	-1
232	235	487.20000000000005	493.5	0
235	240	493.5	504.0	-1
240	247	504.0	518.7	0
247	252	518.7	529.2	-1
252	257	529.2	539.7	1
257	260	539.7	546.0	0
260	265	546.0	556.5	-1
265	268	556.5	562.8000000000001	0
268	274	562.8000000000001	575.4	1
274	276	575.4	579.6	0
276	277	579.6	581.7	-1
277	279	581.7	585.9	1
