start_tr	end_tr	start_s	end_s	label_ternary
0	2	0.0	4.2	1
2	3	4.2	6.300000000000001	0
3	5	6.300000000000001	10.5	-1
5	7	10.5	14.700000000000001	0
7	14	14.700000000000001	29.400000000000002	1
14	22	29.400000000000002	46.2	-1
22	24	46.2	50.400000000000006	0
24	29	50.400000000000006	60.900000000000006	1
29	33	60.900000000000006	69.3	0
33	35	69.3	73.5	-1
35	38	73.5	79.8	0
38	42	79.8	88.2	1
42	43	88.2	90.3	0
43	48	90.3	100.80000000000001	-1
48	50	100.80000000000001	105.0	0
50	65	105.0	136.5	1
65	67	136.5	140.70000000000002	-1
67	69	140.70000000000002	144.9	0
69	70	144.9	147.0	-1
70	73	147.0	153.3	0
73	76	153.3	159.6	1
76	79	159.6	165.9	0
79	90	165.9	189.0	1
90	92	189.0	193.20000000000002	0
92	100	193.20000000000002	210.0	-1
100	106	210.0	222.60000000000002	1
106	109	222.60000000000002	228.9	0
109	121	228.9	254.10000000000002	-1
121	122	254.10000000000002	256.2	0
122	123	256.2	258.3	1
123	124	258.3	260.40000000000003	0
124	127	260.40000000000003	266.7	1
127	128	266.7	268.8	0
128	130	268.8	273.0	1
130	133	273.0	279.3	0
133	134	279.3	281.40000000000003	-1
134	135	281.40000000000003	283.5	0
135	137	283.5	287.7	1
137	139	287.7	291.90000000000003	0
139	140	291.90000000000003	294.0	-1
140	144	294.0	302.40000000000003	0
144	145	302.40000000000003	304.5	1
145	150	304.5	315.0	0
150	151	315.0	317.1	-1
151	155	317.1	325.5	0
155	161	325.5	338.1	-1
161	163	338.1	342.3	0
163	164	342.3	344.40000000000003	-1
164	169	344.40000000000003	354.90000000000003	1
169	170	354.90000000000003	357.0	0
170	172	357.0	361.2	-1
172	173	361.2	363.3	0
173	174	363.3	365.40000000000003	-1
174	176	365.40000000000003	369.6	0
176	180	369.6	378.0	-1
180	183	378.0	384.3	0
183	184	384.3	386.40000000000003	1
184	191	386.40000000000003	401.1	0
191	193	401.1	405.3	1
193	194	405.3	407.40000000000003	0
194	196	407.40000000000003	411.6	-1
196	198	411.6	415.8	0
198	202	415.8	424.20000000000005	1
202	203	424.20000000000005	426.3	0
203	214	426.3	449.40000000000003	-1
214	216	449.40000000000003	453.6	0
216	234	453.6	491.40000000000003	-1
234	236	491.40000000000003	495.6	0
236	237	495.6	497.70000000000005	1
237	239	497.70000000000005	501.90000000000003	0
239	240	501.90000000000003	504.0	-1
240	247	504.0	518.7	0
247	250	518.7	525.0	1
250	252	525.0	529.2	0
252	253	529.2	531.3000000000001	-1
253	257	531.3000000000001	539.7	0
257	258	539.7	541.8000000000001	1
258	259	541.8000000000001	543.9	0
259	262	543.9	550.2	1
262	263	550.2	552.3000000000001	0
263	264	552.3000000000001	554.4	-1
264	265	554.4	556.5	0
265	270	556.5	567.0	1
270	271	567.0	569.1	0
271	275	569.1	577.5	1
