start_tr	end_tr	start_s	end_s	label_ternary
0	3	0.0	6.300000000000001	0
3	17	6.300000000000001	35.7	-1
17	22	35.7	46.2	1
22	25	46.2	52.5	-1
25	26	52.5	54.6	0
26	34	54.6	71.4	1
34	35	71.4	73.5	0
35	39	73.5	81.9	1
39	40	81.9	84.0	0
40	45	84.0	94.5	1
45	51	94.5	107.10000000000001	0
51	56	107.10000000000001	117.60000000000001	1
56	57	117.60000000000001	119.7	0
57	58	119.7	121.80000000000001	-1
58	59	121.80000000000001	123.9	0
59	64	123.9	134.4	1
64	65	134.4	136.5	0
65	71	136.5	149.1	1
71	73	149.1	153.3	0
73	92	153.3	193.20000000000002	-1
92	100	193.20000000000002	210.0	0
100	102	210.0	214.20000000000002	1
102	108	214.20000000000002	226.8	0
108	110	226.8	231.0	1
110	114	231.0	239.4	0
114	117	239.4	245.70000000000002	-1
117	121	245.70000000000002	254.10000000000002	0
121	123	254.10000000000002	258.3	1
123	125	258.3	262.5	0
125	127	262.5	266.7	1
127	136	266.7	285.6	-1
136	144	285.6	302.40000000000003	1
144	148	302.40000000000003	310.8	0
148	149	310.8	312.90000000000003	-1
149	154	312.90000000000003	323.40000000000003	0
154	163	323.40000000000003	342.3	-1
163	165	342.3	346.5	0
165	170	346.5	357.0	1
170	175	357.0	367.5	0
175	180	367.5	378.0	1
180	181	378.0	380.1	-1
181	185	380.1	388.5	0
185	191	388.5	401.1	1
191	197	401.1	413.70000000000005	0
197	208	413.70000000000005	436.8	-1
208	213	436.8	447.3	0
213	215	447.3	451.5	-1
215	220	451.5	462.0	0
220	223	462.0	468.3	-1
223	225	468.3	472.5	0
225	231	472.5	485.1	1
231	232	485.1	487.20000000000005	-1
232	233	487.20000000000005	489.3	0
233	237	489.3	497.70000000000005	1
237	238	497.70000000000005	499.8	0
238	241	499.8	506.1	-1
