start_tr	end_tr	start_s	end_s	label_ternary
0	2	0.0	4.2	1
2	3	4.2	6.300000000000001	0
3	9	6.300000000000001	18.900000000000002	-1
9	11	18.900000000000002	23.1	0
11	13	23.1	27.3	1
13	18	27.3	37.800000000000004	0
18	19	37.800000000000004	39.9	1
19	22	39.9	46.2	0
22	33	46.2	69.3	1
33	43	69.3	90.3	0
43	46	90.3	96.60000000000001	-1
46	48	96.60000000000001	100.80000000000001	0
48	72	100.80000000000001	151.20000000000002	-1
72	75	151.20000000000002	157.5	0
75	86	157.5	180.6	1
86	92	180.6	193.20000000000002	0
92	97	193.20000000000002	203.70000000000002	-1
97	98	203.70000000000002	205.8	0
98	99	205.8	207.9	-1
99	101	207.9	212.10000000000002	0
101	107	212.10000000000002	224.70000000000002	1
107	109	224.70000000000002	228.9	0
109	118	228.9	247.8	-1
118	122	247.8	256.2	0
122	131	256.2	275.1	-1
131	134	275.1	281.40000000000003	0
134	147	281.40000000000003	308.7	1
147	149	308.7	312.90000000000003	0
149	150	312.90000000000003	315.0	-1
150	155	315.0	325.5	0
155	157	325.5	329.7	-1
157	159	329.7	333.90000000000003	0
159	165	333.90000000000003	346.5	1
165	166	346.5	348.6	0
166	167	348.6	350.7	-1
167	176	350.7	369.6	0
176	188	369.6	394.8	1
188	191	394.8	401.1	0
191	195	401.1	409.5	-1
195	201	409.5	422.1	0
201	206	422.1	432.6	-1
206	211	432.6	443.1	1
211	216	443.1	453.6	0
216	220	453.6	462.0	-1
220	230	462.0	483.0	1
230	235	483.0	493.5	-1
235	238	493.5	499.8	0
