start_tr	end_tr	start_s	end_s	label_ternary
0	1	0.0	2.1	0
1	6	2.1	12.600000000000001	-1
6	11	12.600000000000001	23.1	0
11	15	23.1	31.5	-1
15	16	31.5	33.6	0
16	21	33.6	44.1	1
21	22	44.1	46.2	0
22	25	46.2	52.5	1
25	27	52.5	56.7	0
27	34	56.7	71.4	1
34	35	71.4	73.5	0
35	36	73.5	75.60000000000001	-1
36	40	75.60000000000001	84.0	0
40	43	84.0	90.3	1
43	50	90.3	105.0	0
50	51	105.0	107.10000000000001	-1
51	52	107.10000000000001	109.2	0
52	59	109.2	123.9	-1
59	60	123.9	126.0	0
60	73	126.0	153.3	-1
73	80	153.3	168.0	0
80	81	168.0	170.1	1
81	84	170.1	176.4	0
84	85	176.4	178.5	-1
85	90	178.5	189.0	0
90	99	189.0	207.9	-1
99	100	207.9	210.0	0
100	101	210.0	212.10000000000002	-1
101	105	212.10000000000002	220.5	0
105	107	220.5	224.70000000000002	1
107	108	224.70000000000002	226.8	0
108	109	226.8	228.9	1
109	117	228.9	245.70000000000002	0
117	127	245.70000000000002	266.7	1
127	129	266.7	270.90000000000003	0
129	132	270.90000000000003	277.2	-1
132	134	277.2	281.40000000000003	0
134	137	281.40000000000003	287.7	1
137	138	287.7	289.8	0
138	139	289.8	291.90000000000003	-1
139	153	291.90000000000003	321.3	1
153	154	321.3	323.40000000000003	0
154	158	323.40000000000003	331.8	-1
158	159	331.8	333.90000000000003	0
159	165	333.90000000000003	346.5	-1
165	166	346.5	348.6	0
166	174	348.6	365.40000000000003	1
174	176	365.40000000000003	369.6	0
176	188	369.6	394.8	-1
188	192	394.8	403.20000000000005	0
192	194	403.20000000000005	407.40000000000003	-1
194	199	407.40000000000003	417.90000000000003	0
199	201	417.90000000000003	422.1	-1
201	202	422.1	424.20000000000005	0
202	212	424.20000000000005	445.20000000000005	-1
212	213	445.20000000000005	447.3	0
213	215	447.3	451.5	-1
215	216	451.5	453.6	0
216	221	453.6	464.1	1
221	222	464.1	466.20000000000005	0
222	224	466.20000000000005	470.40000000000003	-1
224	225	470.40000000000003	472.5	0
225	228	472.5	478.8	-1
228	230	478.8	483.0	0
230	242	483.0	508.20000000000005	1
242	243	508.20000000000005	510.3	0
243	248	510.3	520.8000000000001	1
248	249	520.8000000000001	522.9	0
249	250	522.9	525.0	-1
250	259	525.0	543.9	0
259	270	543.9	567.0	1
270	271	567.0	569.1	0
271	272	569.1	571.2	1
272	273	571.2	573.3000000000001	0
273	274	573.3000000000001	575.4	-1
274	275	575.4	577.5	0
